sbsconfig,runnum,target,sbsmagcurr(A),bbmagcurr(A),ebeam_mean(GeV),ebeam_std(GeV),totcharge(C),hcal_v_offset,rootfile_dir,tdc_timestamp,tdc_calibration_constant,adct_timestamp,hcal_energy_timestamp
4,4457,lh2,2100,750,8.4,0,0.05,0.00E+00,/lustre19/expphy/volatile/halla/sbs/sbs-gen/GEN_REPLAYS/Rootfiles/GEN4/H2/rootfiles,--------[ 2022-11-11 00:00:00 ],--------[ 2022-10-17 00:00:00 ],--------[ 2022-11-11 00:00:00 ],-------[ 2021-10-24 04:30:00 ]
4,4458,lh2,2100,750,8.4,0,0.05,0.00E+00,/lustre19/expphy/volatile/halla/sbs/sbs-gen/GEN_REPLAYS/Rootfiles/GEN4/H2/rootfiles,--------[ 2022-11-11 00:00:00 ],--------[ 2022-10-17 00:00:00 ],--------[ 2022-11-11 00:00:00 ],-------[ 2021-10-24 04:30:00 ]
4,4459,lh2,2100,750,8.4,0,0.05,0.00E+00,/lustre19/expphy/volatile/halla/sbs/sbs-gen/GEN_REPLAYS/Rootfiles/GEN4/H2/rootfiles,--------[ 2022-11-11 00:00:00 ],--------[ 2022-10-17 00:00:00 ],--------[ 2022-11-11 00:00:00 ],-------[ 2021-10-24 04:30:00 ]
2,2217,he3,2100,750,4.291,0,0.171,0.00E+00,/lustre19/expphy/volatile/halla/sbs/sbs-gen/GEN_REPLAYS/Rootfiles/GEN2/He3/SBS100/rootfiles,--------[ 2022-10-17 00:00:00 ],none,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ]
2,2218,he3,2100,750,4.291,0,0.008,0.00E+00,/lustre19/expphy/volatile/halla/sbs/sbs-gen/GEN_REPLAYS/Rootfiles/GEN2/He3/SBS100/rootfiles,--------[ 2022-10-17 00:00:00 ],none,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ]
2,2219,he3,2100,750,4.291,0,0.21,0.00E+00,/lustre19/expphy/volatile/halla/sbs/sbs-gen/GEN_REPLAYS/Rootfiles/GEN2/He3/SBS100/rootfiles,--------[ 2022-10-17 00:00:00 ],none,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ]
2,2220,he3,2100,750,4.291,0,0.067,0.00E+00,/lustre19/expphy/volatile/halla/sbs/sbs-gen/GEN_REPLAYS/Rootfiles/GEN2/He3/SBS100/rootfiles,--------[ 2022-10-17 00:00:00 ],none,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ]
2,2221,he3,2100,750,4.291,0,0.144,0.00E+00,/lustre19/expphy/volatile/halla/sbs/sbs-gen/GEN_REPLAYS/Rootfiles/GEN2/He3/SBS100/rootfiles,--------[ 2022-10-17 00:00:00 ],none,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ]
2,2222,he3,2100,750,4.291,0,0.154,0.00E+00,/lustre19/expphy/volatile/halla/sbs/sbs-gen/GEN_REPLAYS/Rootfiles/GEN2/He3/SBS100/rootfiles,--------[ 2022-10-17 00:00:00 ],none,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ]
2,2223,he3,2100,750,4.291,0,0.12,0.00E+00,/lustre19/expphy/volatile/halla/sbs/sbs-gen/GEN_REPLAYS/Rootfiles/GEN2/He3/SBS100/rootfiles,--------[ 2022-10-17 00:00:00 ],none,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ]
