sbsconfig,runnum,target,sbsmagcurr(A),bbmagcurr(A),ebeam_mean(GeV),ebeam_std(GeV),Charge (C),tdc_timestamp,tdc_calibration_constant,adct_timestamp,hcal_energy_timestamp
3,2837,h2,2100,750,6.373,0,0.05,--------[ 2022-11-11 00:00:00 ],--------[ 2022-10-17 00:00:00 ],--------[ 2022-11-11 00:00:00 ],-------[ 2021-10-24 04:30:00 ]
3,2838,h2,2100,750,6.373,0,0.05,--------[ 2022-11-11 00:00:00 ],--------[ 2022-10-17 00:00:00 ],--------[ 2022-11-11 00:00:00 ],-------[ 2021-10-24 04:30:00 ]
3,2839,h2,2100,750,6.373,0,0.05,--------[ 2022-11-11 00:00:00 ],--------[ 2022-10-17 00:00:00 ],--------[ 2022-11-11 00:00:00 ],-------[ 2021-10-24 04:30:00 ]
3,2840,h2,2100,750,6.373,0,0.05,--------[ 2022-11-11 00:00:00 ],--------[ 2022-10-17 00:00:00 ],--------[ 2022-11-11 00:00:00 ],-------[ 2021-10-24 04:30:00 ]
3,2841,h2,2100,750,6.373,0,0.05,--------[ 2022-11-11 00:00:00 ],--------[ 2022-10-17 00:00:00 ],--------[ 2022-11-11 00:00:00 ],-------[ 2021-10-24 04:30:00 ]
3,2842,h2,2100,750,6.373,0,0.05,--------[ 2022-11-11 00:00:00 ],--------[ 2022-10-17 00:00:00 ],--------[ 2022-11-11 00:00:00 ],-------[ 2021-10-24 04:30:00 ]
3,2843,h2,2100,750,6.373,0,0.05,--------[ 2022-11-11 00:00:00 ],--------[ 2022-10-17 00:00:00 ],--------[ 2022-11-11 00:00:00 ],-------[ 2021-10-24 04:30:00 ]
3,2845,h2,2100,750,6.373,0,0.05,--------[ 2022-11-11 00:00:00 ],--------[ 2022-10-17 00:00:00 ],--------[ 2022-11-11 00:00:00 ],-------[ 2021-10-24 04:30:00 ]
3,2846,h2,2100,750,6.373,0,0.05,--------[ 2022-11-11 00:00:00 ],--------[ 2022-10-17 00:00:00 ],--------[ 2022-11-11 00:00:00 ],-------[ 2021-10-24 04:30:00 ]
3,2847,h2,2100,750,6.373,0,0.05,--------[ 2022-11-11 00:00:00 ],--------[ 2022-10-17 00:00:00 ],--------[ 2022-11-11 00:00:00 ],-------[ 2021-10-24 04:30:00 ]
3,2849,h2,2100,750,6.373,0,0.05,--------[ 2022-11-11 00:00:00 ],--------[ 2022-10-17 00:00:00 ],--------[ 2022-11-11 00:00:00 ],-------[ 2021-10-24 04:30:00 ]
3,2853,h2,2100,750,6.373,0,0.05,--------[ 2022-11-11 00:00:00 ],--------[ 2022-10-17 00:00:00 ],--------[ 2022-11-11 00:00:00 ],-------[ 2021-10-24 04:30:00 ]
3,2855,h2,2100,750,6.373,0,0.05,--------[ 2022-11-11 00:00:00 ],--------[ 2022-10-17 00:00:00 ],--------[ 2022-11-11 00:00:00 ],-------[ 2021-10-24 04:30:00 ]
4,4457,h2,2100,750,8.4,0,0.05,--------[ 2022-11-11 00:00:00 ],--------[ 2022-10-17 00:00:00 ],--------[ 2022-11-11 00:00:00 ],-------[ 2021-10-24 04:30:00 ]
4,4458,h2,2100,750,8.4,0,0.05,--------[ 2022-11-11 00:00:00 ],--------[ 2022-10-17 00:00:00 ],--------[ 2022-11-11 00:00:00 ],-------[ 2021-10-24 04:30:00 ]
4,4459,h2,2100,750,8.4,0,0.05,--------[ 2022-11-11 00:00:00 ],--------[ 2022-10-17 00:00:00 ],--------[ 2022-11-11 00:00:00 ],-------[ 2021-10-24 04:30:00 ]
