sbsconfig,runnum,target,sbsmagcurr(A),bbmagcurr(A),ebeam_mean(GeV),ebeam_std(GeV),totcharge(C),tdc_timestamp,tdc_calibration_constant,adct_timestamp,hcal_energy_timestamp
11,12588,lh2,2100,750,9.88863217124533,0.000312027552446,0.0673718,none,none,none,-------[ 2021-10-24 04:30:00 ]
11,12625,lh2,2100,750,9.88846714138381,0.000268240792011,0.0349493,none,none,none,-------[ 2021-10-24 04:30:00 ]
11,12626,lh2,2100,750,9.88895107466851,0.000451205044357,0.0291036,none,none,none,-------[ 2021-10-24 04:30:00 ]
11,12657,lh2,2100,750,9.88888276069231,0.00020961196751,0.0418818,none,none,none,-------[ 2021-10-24 04:30:00 ]
11,12658,lh2,2100,750,9.88888927292887,0.000174605339982,0.0206506,none,none,none,-------[ 2021-10-24 04:30:00 ]
11,12675,lh2,2100,750,9.88860449086378,0.000335352059984,0.0290791,none,none,none,-------[ 2021-10-24 04:30:00 ]
11,12676,lh2,2100,750,9.88846093118557,0.000292042842301,0.033554,none,none,none,-------[ 2021-10-24 04:30:00 ]
11,12677,lh2,2100,750,9.88862097537538,0.000383529027084,0.0297664,none,none,none,-------[ 2021-10-24 04:30:00 ]
11,12691,lh2,2100,750,9.88893045335463,0.000227961620582,0.0314396,none,none,none,-------[ 2021-10-24 04:30:00 ]
11,12692,lh2,2100,750,9.88894245976667,0.000213144295087,0.0307525,none,none,none,-------[ 2021-10-24 04:30:00 ]
11,12704,lh2,2100,750,9.88912550128898,0.000158803228074,0.0534928,none,none,none,-------[ 2021-10-24 04:30:00 ]
11,12705,lh2,2100,750,9.88915739958525,0.000160002057097,0.0204928,none,none,none,-------[ 2021-10-24 04:30:00 ]
11,12716,lh2,2100,750,9.88911924596517,0.000135639303821,0.0712513,none,none,none,-------[ 2021-10-24 04:30:00 ]
11,12730,lh2,0,750,9.88901630985537,0.000185037264865,0.0511156,none,none,none,-------[ 2021-10-24 04:30:00 ]
11,12731,lh2,0,750,9.88898067654321,0.000157285981148,0.0718537,none,none,none,-------[ 2021-10-24 04:30:00 ]
11,12747,lh2,2100,750,9.889239452,5.21152459824166E-05,0.00115951,none,none,none,-------[ 2021-10-24 04:30:00 ]
11,12758,lh2,2100,750,9.88934955463415,0.000232593531032,0.0453372,none,none,none,-------[ 2021-10-24 04:30:00 ]
11,12765,lh2,2100,750,9.88941094596774,0.000204894257268,0.0262135,none,none,none,-------[ 2021-10-24 04:30:00 ]
11,12776,lh2,2100,750,9.8894230201501,0.000165912727651,0.0507478,none,none,none,-------[ 2021-10-24 04:30:00 ]
11,12777,lh2,2100,750,9.88944149511327,0.000225336602587,0.0277777,none,none,none,-------[ 2021-10-24 04:30:00 ]
11,12809,lh2,2100,750,9.88946675552356,0.000243415740264,0.0360143,none,none,none,-------[ 2021-10-24 04:30:00 ]
11,12810,lh2,2100,750,9.88932656956896,0.000195444314567,0.0123868,none,none,none,-------[ 2021-10-24 04:30:00 ]
11,12812,lh2,2100,750,9.88920606674074,0.000187190069392,0.0128231,none,none,none,-------[ 2021-10-24 04:30:00 ]
11,12822,lh2,2100,750,9.88962866646302,0.000265669028109,0.0349274,none,none,none,-------[ 2021-10-24 04:30:00 ]
11,12823,lh2,2100,750,9.88955189792793,0.00029304171904,0.0353483,none,none,none,-------[ 2021-10-24 04:30:00 ]
11,12895,lh2,2100,750,9.88858444998478,0.000360299710072,0.0661107,none,none,none,-------[ 2021-10-24 04:30:00 ]
11,12910,lh2,2100,750,9.889264046543,0.0002274340306,0.05959,none,none,none,-------[ 2021-10-24 04:30:00 ]
11,12923,lh2,2100,750,9.88929359628499,0.000368624978668,0.0310937,none,none,none,-------[ 2021-10-24 04:30:00 ]
11,12930,lh2,2100,750,9.88945318232877,0.000262815544823,0.0318675,none,none,none,-------[ 2021-10-24 04:30:00 ]
11,12931,lh2,2100,750,9.88940635451155,0.000257259249253,0.0573409,none,none,none,-------[ 2021-10-24 04:30:00 ]
11,12959,lh2,2100,750,9.88903314661742,0.000205597416118,0.122723,none,none,none,-------[ 2021-10-24 04:30:00 ]
11,12960,lh2,2100,750,9.88893227315789,0.00023874574058,0.00204899,none,none,none,-------[ 2021-10-24 04:30:00 ]
11,12973,lh2,2100,750,9.88888791697403,0.000416936289427,0.0698776,none,none,none,-------[ 2021-10-24 04:30:00 ]
11,12974,lh2,2100,750,9.88915811819407,0.000188697189593,0.0785704,none,none,none,-------[ 2021-10-24 04:30:00 ]
11,13027,lh2,2100,750,9.88848097833333,0.000371840123424,0.0696591,none,none,none,-------[ 2021-10-24 04:30:00 ]
11,13028,lh2,2100,750,9.8885835541116,0.000309636019751,0.0682289,none,none,none,-------[ 2021-10-24 04:30:00 ]
11,13041,lh2,2100,750,9.88892974844394,0.000539329923142,0.0394405,none,none,none,-------[ 2021-10-24 04:30:00 ]
11,13042,lh2,2100,750,9.88890447279346,0.000619978604386,0.0708942,none,none,none,-------[ 2021-10-24 04:30:00 ]
11,13043,lh2,2100,750,9.88891402846939,0.00033713795435,0.0303618,none,none,none,-------[ 2021-10-24 04:30:00 ]
11,13056,lh2,2100,750,9.88890971068915,0.000218335720019,0.0665765,none,none,none,-------[ 2021-10-24 04:30:00 ]
11,13057,lh2,2100,750,9.88885603974359,0.000189682841714,0.067772,none,none,none,-------[ 2021-10-24 04:30:00 ]
14,13239,lh2,1470,750,5.98312127311927,0.000106098662693,0.00855728,none,none,none,-------[ 2021-10-24 04:30:00 ]
14,13240,lh2,1470,750,5.98297313493827,0.000128592707142,0.00344171,none,none,none,-------[ 2021-10-24 04:30:00 ]
14,13241,lh2,1470,750,5.9830579875,0.000204118325547,0.0151985,none,none,none,-------[ 2021-10-24 04:30:00 ]
14,13242,lh2,1470,750,5.98305677419355,0.000447814449783,0.00632764,none,none,none,-------[ 2021-10-24 04:30:00 ]
14,13243,lh2,1470,750,5.98332115268293,0.000179421021927,0.00704412,none,none,none,-------[ 2021-10-24 04:30:00 ]
14,13244,lh2,1470,750,5.9832332168559,0.00014177112174,0.0130988,none,none,none,-------[ 2021-10-24 04:30:00 ]
14,13312,lh2,1470,750,5.9829065283304,0.000312343536463,0.0410001,none,none,none,-------[ 2021-10-24 04:30:00 ]
14,13313,lh2,1470,750,5.9828037143038,0.000202879916264,0.0416487,none,none,none,-------[ 2021-10-24 04:30:00 ]
14,13320,lh2,1470,750,5.98324514755784,0.000267307997505,0.0135617,none,none,none,-------[ 2021-10-24 04:30:00 ]
14,13321,lh2,1470,750,5.98269072675483,0.000399786486928,0.0719708,none,none,none,-------[ 2021-10-24 04:30:00 ]
14,13345,lh2,1470,750,5.98278947428571,0.000415800117174,0.023673,none,none,none,-------[ 2021-10-24 04:30:00 ]
14,13346,lh2,1470,750,5.9831798320398,0.000404708391108,0.0108656,none,none,none,-------[ 2021-10-24 04:30:00 ]
14,13348,lh2,1470,750,5.98252097961631,0.000389370516203,0.0325123,none,none,none,-------[ 2021-10-24 04:30:00 ]
14,13349,lh2,1470,750,5.98257948815739,0.000430759303221,0.0383572,none,none,none,-------[ 2021-10-24 04:30:00 ]
14,13351,lh2,1470,750,5.9828922696897,0.00050465525634,0.0435162,none,none,none,-------[ 2021-10-24 04:30:00 ]
14,13352,lh2,1470,750,5.98258476313008,0.000361499279631,0.0232246,none,none,none,-------[ 2021-10-24 04:30:00 ]
14,13375,lh2,0,750,5.98257884465784,0.00038753296348,0.0611402,none,none,none,-------[ 2021-10-24 04:30:00 ]
14,13376,lh2,0,750,5.98269185801572,0.000424497882585,0.0452497,none,none,none,-------[ 2021-10-24 04:30:00 ]
14,13377,lh2,0,750,5.98245843105263,5.79437787759336E-05,0.00239158,none,none,none,-------[ 2021-10-24 04:30:00 ]
14,13378,lh2,0,750,5.9826923707131,0.000306903461118,0.0595676,none,none,none,-------[ 2021-10-24 04:30:00 ]
14,13379,lh2,1470,750,5.98275022735849,0.00030904193903,0.0923246,none,none,none,-------[ 2021-10-24 04:30:00 ]
14,13396,lh2,1470,750,5.98260530593103,0.000366921320034,0.0144361,none,none,none,-------[ 2021-10-24 04:30:00 ]
14,13397,lh2,1470,750,5.98255843462518,0.000342412045677,0.0730503,none,none,none,-------[ 2021-10-24 04:30:00 ]
14,13405,lh2,1470,750,5.98252593547406,0.000354247490683,0.0566481,none,none,none,-------[ 2021-10-24 04:30:00 ]
8,13450,lh2,1470,750,5.98257431354545,0.000229683440152,0.00319127,none,none,none,-------[ 2021-10-24 04:30:00 ]
8,13451,lh2,1470,750,5.98272884264151,0.000330630393009,0.00172723,none,none,none,-------[ 2021-10-24 04:30:00 ]
8,13452,lh2,1470,750,5.9825528445283,0.000471411052378,0.0095898,none,none,none,-------[ 2021-10-24 04:30:00 ]
8,13459,lh2,0,750,5.98262966763838,0.000361877961448,0.0292071,none,none,none,-------[ 2021-10-24 04:30:00 ]
8,13460,lh2,0,750,5.98266364868132,0.000357079483078,0.0287277,none,none,none,-------[ 2021-10-24 04:30:00 ]
8,13461,lh2,0,750,5.9826054339,0.000229709802501,0.0291978,none,none,none,-------[ 2021-10-24 04:30:00 ]
8,13463,lh2,0,750,5.98266972727273,0.000348601342062,0.030612,none,none,none,-------[ 2021-10-24 04:30:00 ]
8,13464,lh2,0,750,5.98267401293478,0.000331135156611,0.0300583,none,none,none,-------[ 2021-10-24 04:30:00 ]
8,13465,lh2,0,750,5.98278866821306,0.000366736791843,0.0281927,none,none,none,-------[ 2021-10-24 04:30:00 ]
8,13466,lh2,0,750,5.98268954050388,0.00030161937716,0.0285182,none,none,none,-------[ 2021-10-24 04:30:00 ]
8,13482,lh2,1470,750,5.98294387045267,0.000536165778343,0.00752672,none,none,none,-------[ 2021-10-24 04:30:00 ]
8,13483,lh2,1470,750,5.98257941482063,0.000312656346229,0.0252414,none,none,none,-------[ 2021-10-24 04:30:00 ]
8,13484,lh2,1470,750,5.98267960163935,0.00042166412632,0.0216758,none,none,none,-------[ 2021-10-24 04:30:00 ]
8,13485,lh2,1470,750,5.98301584926829,0.00050684150509,0.0101412,none,none,none,-------[ 2021-10-24 04:30:00 ]
8,13486,lh2,1470,750,5.9826591547957,0.00046951640999,0.0225405,none,none,none,-------[ 2021-10-24 04:30:00 ]
8,13487,lh2,1470,750,5.98252207039823,0.000306064578136,0.0275672,none,none,none,-------[ 2021-10-24 04:30:00 ]
8,13488,lh2,1470,750,5.9824763757907,0.000291847214489,0.0252415,none,none,none,-------[ 2021-10-24 04:30:00 ]
8,13489,lh2,1470,750,5.9827038658125,0.000495126885628,0.0217904,none,none,none,-------[ 2021-10-24 04:30:00 ]
8,13490,lh2,1470,750,5.9827582479288,0.000514272848443,0.0257141,none,none,none,-------[ 2021-10-24 04:30:00 ]
8,13537,lh2,2100,750,5.98355740917591,0.000528965001675,0.0318802,none,none,none,-------[ 2021-10-24 04:30:00 ]
8,13538,lh2,2100,750,5.98299543763293,0.001078177898147,0.0297049,none,none,none,-------[ 2021-10-24 04:30:00 ]
8,13539,lh2,2100,750,5.98274535429245,0.00053427083015,0.0321627,none,none,none,-------[ 2021-10-24 04:30:00 ]
8,13540,lh2,2100,750,5.98241697804469,0.000284736826773,0.0315247,none,none,none,-------[ 2021-10-24 04:30:00 ]
8,13541,lh2,2100,750,5.9823952395203,0.000304693939011,0.0315946,none,none,none,-------[ 2021-10-24 04:30:00 ]
8,13542,lh2,2100,750,5.98237016934783,0.000282915081465,0.0320255,none,none,none,-------[ 2021-10-24 04:30:00 ]
8,13543,lh2,2100,750,5.98242822928339,0.000395984058281,0.0164379,none,none,none,-------[ 2021-10-24 04:30:00 ]
8,13573,lh2,1470,750,5.98248413969551,0.000381595630486,0.0337481,none,none,none,-------[ 2021-10-24 04:30:00 ]
8,13574,lh2,1470,750,5.98253168761755,0.000283149727204,0.0359635,none,none,none,-------[ 2021-10-24 04:30:00 ]
